trajectory_id,particle,phase_pre,phase_post,rel_x_pre_um,rel_y_pre_um,rel_z_pre_um,rel_x_post_um,rel_y_post_um,rel_z_post_um,step_len_um,edep_keV
T000239,Li7,binder_void,BN,0.56759,-0.4317,-0.97913,0.66219,-0.52463,-1.18045,0.241284,28.237
T000239,Li7,BN,BN,0.66219,-0.52463,-1.18045,0.9626,-0.83588,-1.87004,0.828056,186.863
T000239,Li7,BN,BN,0.9626,-0.83588,-1.87004,0.9626,-0.83588,-1.87004,0,0
T000240,alpha,BN,binder_void,0,0,0,-0.04361,0.03068,0.07197,0.0895774,36.7513
T000240,alpha,binder_void,BN,-0.04361,0.03068,0.07197,-0.21562,0.15195,0.35575,0.353304,50.9333
T000240,alpha,BN,binder_void,-0.21562,0.15195,0.35575,-0.45097,0.31811,0.745275,0.484531,182.977
T000240,alpha,binder_void,BN,-0.45097,0.31811,0.745275,-0.88983,0.60493,1.450625,0.878906,135.248
T000240,alpha,BN,binder_void,-0.88983,0.60493,1.450625,-1.14214,0.77047,1.860473,0.509023,230.668
T000240,alpha,binder_void,BN,-1.14214,0.77047,1.860473,-1.82012,1.21067,2.92884,1.33996,215.946
T000240,alpha,BN,binder_void,-1.82012,1.21067,2.92884,-2.04839,1.36446,3.28747,0.452224,193.324
T000240,alpha,binder_void,BN,-2.04839,1.36446,3.28747,-2.20005,1.46739,3.51859,0.295014,50.1296
T000240,alpha,BN,binder_void,-2.20005,1.46739,3.51859,-2.67007,1.79077,4.25455,0.933054,179.734
T000240,alpha,binder_void,BN,-2.67007,1.79077,4.25455,-2.67935,1.79876,4.28256,0.0305714,4.3681
T000240,alpha,BN,binder_void,-2.67935,1.79876,4.28256,-2.98069,2.05611,5.19002,1.00061,139.234
T000240,alpha,binder_void,binder_void,-2.98069,2.05611,5.19002,-3.15909,2.44736,5.77766,0.745141,50.686
T000240,alpha,binder_void,binder_void,-3.15909,2.44736,5.77766,-3.15909,2.44736,5.77766,0,0
T000241,Li7,BN,binder_void,0,0,0,0.1407,0.08229,-0.1757795,0.239761,146.175
T000241,Li7,binder_void,BN,0.1407,0.08229,-0.1757795,0.205,0.12164,-0.2541865,0.108754,18.2992
T000241,Li7,BN,binder_void,0.205,0.12164,-0.2541865,0.7711,0.47713,-0.9385915,0.95824,488.698
T000241,Li7,binder_void,binder_void,0.7711,0.47713,-0.9385915,1.9112,0.99328,-2.0886515,1.71363,115.431
T000241,Li7,binder_void,binder_void,1.9112,0.99328,-2.0886515,2.8132,1.25439,-3.0969615,1.46797,68.9989
T000241,Li7,binder_void,binder_void,2.8132,1.25439,-3.0969615,2.8314,1.24156,-3.1250515,0.324197,2.39912
T000241,Li7,binder_void,binder_void,2.8314,1.24156,-3.1250515,2.8314,1.24156,-3.1250515,0,0
T000242,alpha,BN,binder_void,0,0,0,-0.1173,-0.06861,0.1465604,0.19987,71.4706
T000242,alpha,binder_void,BN,-0.1173,-0.06861,0.1465604,-1.1476,-0.68434,1.4336585,1.76011,275.356
T000242,alpha,BN,binder_void,-1.1476,-0.68434,1.4336585,-1.6943,-1.00988,2.1307085,0.943983,390.884
T000242,alpha,binder_void,ZnS,-1.6943,-1.00988,2.1307085,-1.8048,-1.07437,2.2650285,0.185478,38.5464
T000242,alpha,ZnS,ZnS,-1.8048,-1.07437,2.2650285,-3.7633,-2.20264,4.6622385,3.3644,693.743
T000242,alpha,ZnS,ZnS,-3.7633,-2.20264,4.6622385,-3.7633,-2.20264,4.6622385,0,0
T000243,Li7,BN,binder_void,0,0,0,-0.0677,0.00259,-0.0070336,0.0681147,43.8647
T000243,Li7,binder_void,BN,-0.0677,0.00259,-0.0070336,-0.35,0.01305,-0.0356885,0.28399,48.5478
T000243,Li7,BN,binder_void,-0.35,0.01305,-0.0356885,-1.035,0.04109,-0.1005005,0.689156,397.239
T000243,Li7,binder_void,BN,-1.035,0.04109,-0.1005005,-1.0462,0.04135,-0.1013075,0.0112595,1.49834
T000243,Li7,BN,binder_void,-1.0462,0.04135,-0.1013075,-1.8234,0.05956,-0.1577455,0.78285,243.08
T000243,Li7,binder_void,BN,-1.8234,0.05956,-0.1577455,-1.9285,0.05438,-0.1869845,0.109416,7.73608
T000243,Li7,BN,BN,-1.9285,0.05438,-0.1869845,-2.2643,0.03154,-0.2780745,0.355429,99.0181
T000243,Li7,BN,BN,-2.2643,0.03154,-0.2780745,-2.2643,0.03154,-0.2780745,0,0
T000244,alpha,BN,binder_void,0,0,0,0.6992,-0.02675,0.072638964,0.703477,266.245
T000244,alpha,binder_void,ZnS,0.6992,-0.02675,0.072638964,0.9433,-0.04096,0.1019254,0.246327,41.725
T000244,alpha,ZnS,binder_void,0.9433,-0.04096,0.1019254,5.1055,-0.28569,0.6110935,4.23859,1130.65
T000244,alpha,binder_void,BN,5.1055,-0.28569,0.6110935,5.247,-0.32164,0.6370625,0.149704,8.48185
T000244,alpha,BN,BN,5.247,-0.32164,0.6370625,5.4858,-0.35086,0.7265585,0.270408,2.87063
T000244,alpha,BN,BN,5.4858,-0.35086,0.7265585,5.716,-0.41514,0.8136545,0.31796,20.0307
T000244,alpha,BN,BN,5.716,-0.41514,0.8136545,5.716,-0.41514,0.8136545,0,0
T000245,Li7,BN,binder_void,0,0,0,0.1681,0.2299,-0.08661,0.297692,192.128
T000245,Li7,binder_void,BN,0.1681,0.2299,-0.08661,0.3573,0.4871,-0.1978,0.338209,60.2924
T000245,Li7,BN,binder_void,0.3573,0.4871,-0.1978,0.4232,0.5761,-0.2364,0.117292,68.8834
T000245,Li7,binder_void,BN,0.4232,0.5761,-0.2364,0.9758,1.3234,-0.54397,0.979694,135.772
T000245,Li7,BN,BN,0.9758,1.3234,-0.54397,1.4555,2.01,-0.807478,0.881838,386.546
T000245,Li7,BN,BN,1.4555,2.01,-0.807478,1.4555,2.01,-0.807478,0,0
T000246,alpha,BN,binder_void,0,0,0,-0.0068,-0.0094,0.00354,0.0121714,3.17168
T000246,alpha,binder_void,ZnS,-0.0068,-0.0094,0.00354,-0.0692,-0.0949,0.03573,0.110659,14.1236
T000246,alpha,ZnS,binder_void,-0.0692,-0.0949,0.03573,-1.4525,-1.9913,0.75187,2.46032,830.961
T000246,alpha,binder_void,BN,-1.4525,-1.9913,0.75187,-1.4626,-2.006,0.75868,0.0191546,3.16357
T000246,alpha,BN,binder_void,-1.4626,-2.006,0.75868,-1.6665,-2.3014,0.89513,0.384001,161.935
T000246,alpha,binder_void,BN,-1.6665,-2.3014,0.89513,-1.9844,-2.7571,1.10457,0.594004,102.418
T000246,alpha,BN,binder_void,-1.9844,-2.7571,1.10457,-2.1051,-2.9225,1.18135,0.218761,93.9669
T000246,alpha,binder_void,BN,-2.1051,-2.9225,1.18135,-2.2524,-3.136,1.28517,0.279514,40.4487
T000246,alpha,BN,BN,-2.2524,-3.136,1.28517,-2.7624,-3.879,1.65429,0.980566,219.812
T000246,alpha,BN,BN,-2.7624,-3.879,1.65429,-2.7624,-3.879,1.65429,0,0
T000247,Li7,BN,binder_void,0,0,0,-0.0196,-0.0417,0.03401,0.0573229,36.6838
T000247,Li7,binder_void,ZnS,-0.0196,-0.0417,0.03401,-0.0616,-0.1301,0.10704,0.12209,22.3837
T000247,Li7,ZnS,ZnS,-0.0616,-0.1301,0.10704,-0.6196,-1.2992,1.01642,1.60429,780.932
T000247,Li7,ZnS,ZnS,-0.6196,-1.2992,1.01642,-0.6196,-1.2992,1.01642,0,0
T000248,alpha,BN,binder_void,0,0,0,0.0217,0.0461,-0.0375,0.0631961,22.9376
T000248,alpha,binder_void,BN,0.0217,0.0461,-0.0375,0.1293,0.2761,-0.22359,0.314827,47.0644
T000248,alpha,BN,binder_void,0.1293,0.2761,-0.22359,0.4256,0.9137,-0.736093,0.870231,322.944
T000248,alpha,binder_void,BN,0.4256,0.9137,-0.736093,0.5324,1.1567,-0.926188,0.326487,56.6331
T000248,alpha,BN,binder_void,0.5324,1.1567,-0.926188,0.8198,1.804,-1.433499,0.871368,409.751
T000248,alpha,binder_void,BN,0.8198,1.804,-1.433499,0.8934,1.9637,-1.5612476,0.217405,39.4154
T000248,alpha,BN,binder_void,0.8934,1.9637,-1.5612476,1.1888,2.59,-2.056213,0.851763,364.612
T000248,alpha,binder_void,BN,1.1888,2.59,-2.056213,1.2838,2.8066,-2.200931,0.277449,35.7914
T000248,alpha,BN,binder_void,1.2838,2.8066,-2.200931,1.4518,3.1979,-2.444903,0.492846,58.8899
T000248,alpha,binder_void,BN,1.4518,3.1979,-2.444903,1.8973,3.6241,-2.92371,0.784596,61.2656
T000248,alpha,BN,binder_void,1.8973,3.6241,-2.92371,2.0744,3.7552,-3.07952,0.276394,29.1565
T000248,alpha,binder_void,BN,2.0744,3.7552,-3.07952,2.0744,3.7552,-3.07952,0,0
T000248,alpha,BN,binder_void,2.0744,3.7552,-3.07952,2.1244,3.7662,-3.12892,0.0731162,13.7167
T000248,alpha,binder_void,binder_void,2.1244,3.7662,-3.12892,2.2275,3.78,-3.19346,0.136641,1.23484
T000248,alpha,binder_void,binder_void,2.2275,3.78,-3.19346,2.2902,3.759,-3.28045,0.117392,6.02415
T000248,alpha,binder_void,binder_void,2.2902,3.759,-3.28045,2.296,3.758,-3.2881,0.126513,0.564044
